title,year
Gantz: Perfect Answer,2011
Sarah's Key,2010
Bigga Than Ben,2008
The Tree,2010
Xtro,1982
Waiting for Happiness,2002
Applause,2009
The Sitter,2011
Extremely Loud & Incredibly Close,2011
Time Bomb,1953
Hanussen,1988
The Gruffalo,2009
Play the Game,2009
The 12 Dogs of Christmas,2005
Asterix and the Big Fight,1989
Asterix Conquers America,1994
Asterix and the Vikings,2006
Sing Your Song,2012
Rings on Her Fingers,1942
Rampart,2011
Happy Feet Two,2011
Angel,1982
HealtH,1980
Amore,1948
That Cold Day in the Park,1969
Arthur Christmas,2011
Miss Bala,2011
Wind Across the Everglades,1958
Red Line 7000,1965
99 and 44/100% Dead,1974
The Suspect,1944
12 Days of Terror,2005
A Midsummer Night's Dream,1968
Getting to Know You,1999
Run for Cover,1955
Accidents Happen,2009
The Perfect Game,2010
Elephant White,2011
Violet & Daisy,2011
Flypaper,2011
Bullet to the Head,2013
The Expendables 2,2012
The Snowman,1982
Sharktopus,2010
Bathing Beauty,1944
What Price Glory,1926
The Hunger Games,2012
Blind Justice,1916
Womb,2010
Fire of Conscience,2010
The Goddess,1934
Intimate Lighting,1965
Sweeney Todd: The Demon Barber of Fleet Street,1936
The Death King,1990
The Dark Knight Rises,2012
Hovering Over the Water,1986
Dacii,1967
The Bourne Legacy,2012
"Don't Worry, I'm Fine",2006
I Melt with You,2011
Sherlock Holmes: A Game of Shadows,2011
Life in a Day,2011
Evidence of Blood,1998
The Cost of Living,2003
Flamenco,1995
A Funny Man,2011
Judex,1916
Wild Animals,1997
Moonlight Whispers,1999
Coriolanus,2011
Americano,2011
Stagecoach,1966
Angelus,2001
The Forty-First,1956
Macon County Line,1974
Gitmek: My Marlon and Brando,2008
Prom Night in Mississippi,2009
This Is Not a Film,2011
Carmen Comes Home,1951
Outside Satan,2011
The Student,2011
Shit Year,2010
Toronto Stories,2008
Backstage,2005
Better Things,2008
A New Life,2002
"Why Are the Bells Ringing, Mitica?",1981
Young Adult,2011
Mr. Bones 2: Back from the Past,2008
Faces in the Crowd,2011
New Year's Eve,2011
Mission: Impossible - Ghost Protocol,2011
G.I. Joe: The Revenge of Cobra,1984
We Bought a Zoo,2011
April in Paris,1952
The Girl with the Dragon Tattoo,2011
The Darkest Hour,2011
Picture Me,2010
Last Holiday,1950
Alvin and the Chipmunks: Chipwrecked,2011
Albert Nobbs,2011
Julia's Eyes,2010
Metrobranding,2010
Salvation Boulevard,2011
Friends with Kids,2011
The Girl in the Red Velvet Swing,1955
Intruders,2011
Pitfall,1948
In the Land of Blood and Honey,2011
Kongo,1932
Shockproof,1949
Boy Meets Girl,1938
Model Shop,1969
Broken Lullaby,1932
The Toast of New York,1937
Texas,1941
Peas at 5:30,2004
Today's Special,2009
Brutal Beauty: Tales of the Rose City Rollers,2010
Sophie's Revenge,2009
Reagan,2011
Santa Buddies,2009
The Last Lions,2011
Machine Gun McCain,1969
The Outside Man,1972
Private Hell 36,1954
Territories,2010
Girl Walks Into a Bar,2011
Professor Layton and the Eternal Diva,2009
Bringing Up Bobby,2011
The Painting Sellers,2010
On Thin Ice,2009
The Chapman Report,1962
Skyscraper Souls,1932
Ladies vs Ricky Bahl,2011
Pariah,2011
A Muppet Family Christmas,1987
Kung Fu Panda Holiday,2010
Tanner Hall,2009
Newlyweds,2011
The Devil Inside,2012
Born To Race,2011
Roadie,2011
Contraband,2012
Chak De! India,2007
Cloportes,1965
Mantrap,1926
The Last Ferry,1989
The Cow,1969
The Way South,1981
Local Color,1977
Beneath the Darkness,2011
Being Elmo: A Puppeteer's Journey,2011
Idol of the Crowds,1937
Joyful Noise,2012
Mi mejor enemigo,2005
To Die Like a Man,2009
The Sea Gull,1968
Dolphin Tale,2011
Chico & Rita,2010
The Iron Lady,2011
Happy Tears,2009
The Golden Boys,2008
Elena,2011
Aurora,2011
With Heart & Soul,2009
The Conquest,2011
Mad Bastards,2010
Mr. Bug Goes to Town,1941
Work in Progress,2001
The Wild Bees,2001
The End of the Line,2009
Nostalgia for the Light,2010
Top Floor Left Wing,2010
Albatross,2011
Loosies,2012
The Revenant,2009
The Mill and the Cross,2011
One Trick Pony,1980
Cat Run,2011
Magic Christmas Tree,1964
The Man Next Door,2009
The Divide,2011
Underworld: Awakening,2012
The Grey,2012
Man on a Ledge,2012
Sacrifice,2010
Veijarit,2010
The Pruitt-Igoe Myth,2012
First Family,1980
All Night Long,1962
Gorilla at Large,1954
The Garden of Eden,2008
Time Without Pity,1957
Descongelate!,2003
White Irish Drinkers,2011
Haywire,2011
Case départ,2011
The Las Vegas Story,1952
My Man and I,1952
Secrets,1933
Westbound,1959
The Don Is Dead,1973
Contact High,2009
The Whistleblower,2010
The Human Centipede 2 (Full Sequence),2011
Dad Savage,1998
You and Me,1938
The Nazis - A Warning From History,1997
Zen,2009
King of Beggars,1992
Einstein and Eddington,2008
14 Blades,2010
The Locals,2003
"Buona Sera, Mrs. Campbell",1968
40 Pounds of Trouble,1962
My Future Boyfriend,2011
The Terrorizers,1986
Goodbye,2011
The Loneliest Planet,2011
Images of the World and the Inscription of War,1989
Policeman,2011
Disorder,2009
Red Psalm,1972
Regeneration,1915
The Afternoon of a Torturer,2001
We Won't Grow Old Together,1972
"Turn Me On, Dammit!",2011
Faust,2011
Post Mortem,2010
Decasia,2002
Viva,2007
Fados,2007
Daddy Longlegs,2009
Praise,1998
Stanley Kubrick's Boxes,2008
Street Mobster,1972
Alexandria… Why?,1979
The Grand Maneuver,1955
Can Go Through Skin,2009
Morgen,2010
"What's Up, Scarlet?",2005
Christmas Evil,1980
Three Wise Men,2008
Call Her Savage,1932
Apollo 18,2011
Crazy Horse,2011
Seeking Justice,2011
The Sound and the Fury,1959
La Pointe-Courte,1955
Hostel: Part III,2011
Wyvern,2009
The Disappearance of Haruhi Suzumiya,2010
The Poseidon Adventure,2005
A River Called Titas,1973
The Vanquished,1953
The Blue Bird,1918
Red Tails,2012
In Darkness,2011
Odd Obsession,1959
The Flowers of War,2011
Enthusiasm,1931
The Scenesters,2009
Thunder Soul,2010
The Nun,2005
Vlad,2003
The Intouchables,2011
Declaration of War,2011
One for the Money,2012
The Incredible Petrified World,1957
Queen of the Amazons,1947
Becoming Chaz,2011
Countdown to Looking Glass,1984
W.E.,2011
The Innkeepers,2011
The Storage,2011
Nancy Goes to Rio,1950
Dog Tags,2008
Big Miracle,2012
Collision Earth,2011
The Great Bank Hoax,1978
The Wonderful World of Puss 'n Boots,1969
Reel Injun,2009
A Man Called Sledge,1970
Cameraman: The Life and Work of Jack Cardiff,2010
Six Degrees of Celebration,2010
Six Degrees of Celebration 2,2011
This Time Around,2003
Enid,2009
Jenny,1936
The Straits of Love and Hate,1937
State Fair,1933
Grave Encounters,2011
Detective Dee and the Mystery of the Phantom Flame,2010
Hurry Sundown,1967
Batch '81,1982
The Eleventh Year,1928
Forever Yours,2011
The Career of Nikos Dyzma,2002
E=mc²,2002
Chronicle,2012
The Woman in Black,2012
Dottie Gets Spanked,1993
Woman in Love,2011
The Dancing Hawk,1978
Toast,2010
The Art of Getting By,2011
The Human Resources Manager,2011
The Overcoat,1952
Bucky Larson: Born to Be a Star,2011
The Monk,2011
Can Mr. Smith Get to Washington Anymore?,2006
A Doll's House,1973
The Canyon,2009
Cass Timberlane,1947
All Watched Over by Machines of Loving Grace,2011
Yes: 9012 live,1985
Kisses For My President,1964
Third Star,2010
Living Proof,2008
Barbie in the Nutcracker,2001
Dylan Moran: Monster,2004
"Dylan Moran: Like, Totally...",2006
Dylan Moran: What It Is,2009
"Dylan Moran: Yeah, Yeah",2011
Safe House,2012
The Vow,2012
Swamp Shark,2011
Moon of the Wolf,1972
She Gods of Shark Reef,1958
King Kong Escapes,1967
The Chocolate Soldier,1941
Frisco Jenny,1932
My Boy Jack,2007
Louis C.K.: Live at the Beacon Theater,2011
Special Bulletin,1983
As Luck Would Have It,2011
The Black Power Mixtape 1967-1975,2011
The Girl from Jones Beach,1949
Holding Trevor,2007
Castle of Sand,1974
At Home by Myself... with You,2009
Pitfall,1962
Casual Relations,1974
Warsaw Bridge,1989
Monsieur Lazhar,2011
Tin Pan Alley,1940
BookWars,2000
Kino Eye,1924
Silence,1971
"For a Good Time, Call...",2012
The Jodorowsky Constellation,1994
Casey Jones,2011
Janie Jones,2010
Thirteen Women,1932
Journey 2: The Mysterious Island,2012
Stella Does Tricks,1997
Valerie,2007
The Boys,1962
Hoodoo Ann,1916
Perfect Sense,2011
The Shrine,2010
Israeli Intelligence,2007
Johnny Cash at Folsom Prison,2008
Fake,2010
Forest of Bliss,1986
The Artist,2008
Tim and Eric's Billion Dollar Movie,2012
The Pearl,1947
Kuningasjätkä,1998
Rollo and the Spirit of the Woods,2001
Beautiful Kate,2009
Chapiteau-Show,2011
Sommer der Gaukler,2011
Kokowaah,2011
Hearts of the West,1975
When Love Is Not Enough: The Lois Wilson Story,2010
Monstrosity,1963
Sixpack,2011
The City Dark,2012
Oka!,2011
Bombay Beach,2011
The Little Mermaid,1976
Bodyguards and Assassins,2009
The Sorcerer and the White Snake,2011
Flying Swords of Dragon Gate,2011
Smokin' Aces 2: Assassins' Ball,2010
Knuckle,2011
Winter in Wartime,2008
The Three Musketeers,1939
Untamed Youth,1957
God's Gift To Women,1931
Ricky Rapper and the Bicycle Thief,2010
The Truth About Love,2005
Plans for Tomorrow,2010
Born to Be Bad,1934
Así es la vida...,2000
The Mysterious X,1914
Le 7ème juré,2008
Metallica: A Year and a Half in the Life Of...,1992
Balkan Spy,1984
We Were Here,2011
Hot Summer Week,1972
Happy End,1967
New York in the 50's,2001
The Hunter,2011
The Dead,2010
The Love Trap,1929
Kaleidoscope,1966
Ghost Rider: Spirit of Vengeance,2011
A Monster in Paris,2011
The Souler Opposite,1998
Film About a Woman Who…,1974
"DOS μια ιστορία αγάπης, απ' την ανάποδη",2011
Prayers for Bobby,2009
Little Criminals,1995
Bustin' Down the Door,2008
Love Wrecked,2005
The World According to Ion B.,2009
Territorio comanche,1997
Father Takes a Wife,1941
A Very Potter Musical,2009
A Very Potter Sequel,2010
Once Upon a Time in the North,2012
Miss Nobody,2010
Retreat,2011
Guy and Madeline on a Park Bench,2009
The Great Sinner,1949
Her Highness and the Bellboy,1945
The Civil War,1990
October Baby,2011
Khodorkovsky,2011
The Bear,2011
Live Music,2009
Ro.Go.Pa.G.,1963
Paris Belongs to Us,1961
Bag of Bones,2011
Mozart's Sister,2010
Seven Days in Utopia,2011
The Women on the 6th Floor,2010
One of Our Dinosaurs Is Missing,1975
Mega Shark vs. Crocosaurus,2010
Wrong Turn 4: Bloody Beginnings,2011
Moscow Clad in Snow,1909
Sleep Tight,2011
The Munekata Sisters,1950
Arena,2011
Mail Order Bride,1964
The Satan Bug,1965
Poppy Shakespeare,2008
Freedom,2000
The Price of Forgiveness,2001
I Saw Mommy Kissing Santa Claus,2002
Red Hill,2010
Zone Troopers,1985
La Patinoire,1998
The Secret Glory,2001
The Woman Who Drinks,2001
The Prince and the Pauper,1990
Another Woman's Life,2012
A Cat in Paris,2010
Dr. Goldfoot and the Girl Bombs,1966
Children Who Chase Lost Voices,2011
Gone,2012
The Plastic Age,1925
Courageous,2011
Flywheel,2003
Project X,2012
The Lorax,2012
Darling,2007
The Big Year,2011
The Liar,1981
Kovat Miehet,1999
Mr. Moto's Last Warning,1939
Act of Valor,2012
Trailer Park Boys,1999
Don Quixote,1933
Undefeated,2011
This Means War,2012
One A.M.,1916
The Cure,1917
The Bank,1915
A Night Out,1915
The Earth Dies Screaming,1964
The Dark Side of the Sun,1988
John Carter,2012
Canned Dreams,2012
Sunnyside,1919
When We Leave,2010
Genius Within: The Inner Life of Glenn Gould,2009
Great Directors,2010
Something Big,1971
The Take,1974
Queen: Days of Our Lives,2011
Police,1916
Behind the Screen,1916
Easy Street,1917
The Art of Flight,2011
Starbuck,2011
Forks Over Knives,2011
Deserter,1933
Skies Above the Landscape,2006
United Red Army,2007
Goon,2012
Landscape with a Woman,1976
Blind Pig Who Wants to Fly,2008
What Is to Be Done?,1970
The Hidden Face,2011
In Gold We Trust,2010
Eye of the Devil,1966
Listen to Your Heart,2010
Dead on Time,1983
Pale Cocoon,2006
The Awakening,2011
The Round Up,2010
Miral,2010
Princess of Mars,2009
Like Water,2011
Cencoroll,2009
Game Change,2012
Kill by Inches,1999
The Ledge,2011
Bestseller,2010
21 Jump Street,2012
"Jeff, Who Lives at Home",2011
Blackballed: The Bobby Dukes Story,2004
Adventures of Captain Marvel,1941
Captain Midnight,1942
Harmagedon - Erään maailman loppu,1986
City of Fear,1959
Treed Murray,2001
Satan Never Sleeps,1962
SOS Coast Guard,1937
Yes or No,2010
Blind,2011
Lockout,2012
Bedevilled,2010
Lucky,2011
Resurrect Dead: The Mystery of the Toynbee Tiles,2011
A Lonely Place to Die,2011
"Caltiki, the Immortal Monster",1959
Snowtown,2011
Space Battleship Yamato,2010
Nothing Lasts Forever,1984
Zero Bridge,2011
The Bleeding,2009
Wreckers,2011
Fat Head,2009
Public Housing,1997
The Runner,1984
Last Exit,2003
Verbo,2011
The Frankenstein Syndrome,2010
A Thousand Months,2003
The Secret Nation,1989
Manrape,1978
Passion of Love,1981
!Women Art Revolution,2010
Casa De Mi Padre,2012
Corman's World: Exploits of a Hollywood Rebel,2011
Tropical Fish,1995
Prom Queen: The Marc Hall Story,2004
Evolver,1994
Letters to Santa,2011
Dragon Age: Redemption,2011
Jiro Dreams of Sushi,2011
Damsels in Distress,2012
A Skin Too Few: The Days of Nick Drake,2002
Human Lanterns,1982
Pageant,2008
A Warm December,1973
White Night Wedding,2008
Salmon Fishing in the Yemen,2011
Hotel,1967
Eden of the East Movie I: The King of Eden,2009
Eden of the East Movie II: Paradise Lost,2010
Saving Face,2012
Admiral Yamamoto,1968
Meeting Evil,2012
Wrath of the Titans,2012
Bending The Rules,2012
Seven Brothers,1939
Paan Singh Tomar,2012
The Horrible Dr. Hichcock,1962
Detachment,2011
Four Sided Triangle,1953
The Incredible Hulk Returns,1988
Answers to Nothing,2011
4:44 Last Day on Earth,2011
Iron Sky,2012
The Ghost,1963
Absentia,2011
There's Something Wrong with Aunt Diane,2011
American Reunion,2012
Ticked-Off Trannies with Knives,2010
The Raid,2011
The Cabin in the Woods,2012
Delicacy,2011
God Bless America,2011
The Desert of Forbidden Art,2011
The Wayshower,2011
Frankenstein,1910
The Clay Bird,2002
The Dupes,1973
Romantics Anonymous,2010
The Unknown Woman,2011
Popatopolis,2009
The Gamma People,1956
"Wild, Wild Planet",1965
Egg,2007
Village People Radio Show,2007
The Day I Was Not Born,2010
Genesis,1998
The Big Night,1951
Housefull 2,2012
Agent Vinod,2012
After,2009
Lust for Gold,1974
Footnote,2011
Café de Flore,2011
L!fe Happens,2011
Midnight Movie,2008
Ollie Hopnoodle's Haven of Bliss,1988
The Silent House,2010
Silent House,2011
Wild About Harry,2000
Keeping the Promise,1997
Helsinki Napoli - All Night Long,1987
The Three Stooges,2012
The Raven,2012
The Ballad of Nessie,2011
The Big Bang,2011
Mirror Mirror,2012
Battleship,2012
Our Day Will Come,2010
Louis Theroux: America's Most Hated Family in Crisis,2011
The Woman in the Rumor,1954
Appropriate Adult,2011
Terraferma,2011
Madhouse,1974
Goodbye First Love,2011
The Best Exotic Marigold Hotel,2011
Rush: Beyond the Lighted Stage,2010
Position Among the Stars,2011
The Second Time Around,1961
Crime After Crime,2011
Black Pond,2011
18 Years Later,2010
King of Devil's Island,2010
Twelve,2010
Sharpay's Fabulous Adventure,2011
"The Cartoonist: Jeff Smith, BONE and the Changing Face of Comics",2009
Comic-Con Episode IV: A Fan's Hope,2011
Bullhead,2011
Le Crabe-Tambour,1977
Bully,2011
The Hammer,2010
Uncovered,1995
The Chance of a Lifetime,1943
The Flower in Hell,1958
White Mountains,1964
Hysteria,2011
Cold Storage,2009
Listen to Britain,1942
The Mad Masters,1955
Dante's Inferno: An Animated Epic,2010
The Bleeding House,2011
Barrier,1966
Crazy Sexy Cancer,2007
Aakrosh,2010
Devil's Diary,2007
Alambrista!,1977
Androcles and the Lion,1952
Super Demetrios,2011
Naked Ambition: An R Rated Look at an X Rated Industry,2009
Don't Eat the Pictures: Sesame Street at the Metropolitan Museum of Art,1983
The Atomic Submarine,1959
The Baron of Arizona,1950
The Five-Year Engagement,2012
The White Darkness,2002
Icarus XB 1,1963
Men in Hope,2011
Spud,2010
Black Sun,1964
The Murderer Lives at Number 21,1942
Judgment in Berlin,1988
Elsewhere,2009
The Marc Pease Experience,2009
Buried Alive II,1997
One Body Too Many,1944
Slim Carter,1957
In The Hands Of The Gods,2007
The Catechism Cataclysm,2011
The Devil's Rock,2011
Think Like a Man,2012
The Lucky One,2012
Diverted,2009
The First Texan,1956
"Good-bye, My Lady",1956
Chosin,2010
Nob Hill,1945
Bride Flight,2008
Chained for Life,1952
The Scarlet Letter,1979
If a Tree Falls: A Story of the Earth Liberation Front,2011
The Greening of Whitney Brown,2011
Safe,2012
"That Day, on the Beach",1983
Hamlet,2009
The Fairy,2011
Diaries Notes and Sketches,1969
3rd World Hero,2000
Kept Husbands,1931
The Swell Season,2011
"Ella Lola, a la Trilby",1898
Guilty Hands,1931
L'outremangeur,2002
Jumping the Broom,2011
A Story Written with Water,1965
Feast III: The Happy Finish,2009
Red Dog,2011
Any Questions for Ben?,2012
Sweet Bunch,1983
Amu,2005
Dark Shadows,2012
The Scorpion King: Rise of a Warrior,2008
Big Boys Gone Bananas!*,2011
Ciao Bella,2007
Daylight,2011
96 Minutes,2011
Columbus Circle,2012
The Decoy Bride,2011
The Headhunter's Sister,1997
Angels Crest,2011
Viva Riva!,2010
The Forgiveness of Blood,2011
Among Wolves,2010
Edwin Boyd: Citizen Gangster,2011
Beyond the Black Rainbow,2010
The Last Play at Shea,2010
The Poker Club,2008
The Clown,2011
Creature,2011
Thawing Out,2009
"Turkish Dance, Ella Lola",1898
Walking with Beasts,2001
Rocket Singh: Salesman of the Year,2009
Vicky Donor,2012
Zig Zag,1970
Extraordinary Stories,2008
Small Town of Anara,1978
Across the Line: The Exodus of Charlie Wright,2010
Three Steps Above Heaven,2010
The Dictator,2012
Thrive,2011
Boys Love,2006
Bombay Talkie,1970
Border Radio,1987
Keyhole,2011
Before The Dinosaurs - Walking With Monsters,2005
"Boys Diving, Honolulu",1901
The Island President,2012
The Heir Apparent: Largo Winch,2008
The Mighty Macs,2009
My Blue Heaven,1950
Gifted Hands: The Ben Carson Story,2009
Chains,1949
The Woman Who Dared,1944
Nuoruuteni savotat,1988
Safrana or Freedom of Speech,1978
The Rose Seller,1998
Galileo,1975
Men in Black 3,2012
Snow White and the Huntsman,2012
The Harvest Month,1956
Olympian Holiday,1976
Pine Flat,2006
Back Street,1941
Where East is East,1929
Sound of My Voice,2011
The Steel Trap,1952
Night of the Demons,2009
The Secrets of Jonathan Sperry,2008
Unnaipol Oruvan,2009
EVA,2011
Chernobyl Diaries,2012
Chicken with Plums,2011
School of Seduction,2004
You Can't Win 'Em All,1970
Leadbelly,1976
The Pirates! In an Adventure with Scientists!,2012
A Better Life,2012
Hemingway & Gellhorn,2012
The Fish Child,2009
Hick,2011
Prometheus,2012
The Pact,2012
Phyllis and Harold,2010
Letters to God,2010
Bernie,2012
Desi Boyz,2011
Ten North Frederick,1958
3 A.M.,2001
Deadline - U.S.A.,1952
Inhale,2010
Rated X: A Journey Through Porn,1999
Just Friends?,2009
Take This Waltz,2011
Berlin '36,2009
Sound of Noise,2010
The Blot,1921
Dr. Crippen,1964
Dickson Experimental Sound Film,1894
Wanderlust,2012
Harriet Craig,1950
Ladies They Talk About,1933
Moonrise Kingdom,2012
There Be Dragons,2011
Texas Killing Fields,2011
Kahaani,2012
Superman vs. The Elite,2012
I Wish,2011
Stavisky,1974
Never Take Sweets from a Stranger,1960
Get the Gringo,2012
Suicide Manual,2003
The Keeper,2009
5 Days of War,2011
"Life, Above All",2010
Bio Slime,2010
Superman: Doomsday,2007
Entr'acte,1924
A Lake,2008
Tracy Morgan: Black & Blue,2010
The Importance of Tying Your Own Shoes,2011
The Peach Thief,1964
Salomé,1972
Outer Space,1999
Exporting Raymond,2011
Appointment with Danger,1951
Vares - The Kiss of Evil,2011
A Few Best Men,2011
Late Bloomers,2011
Cord,2000
The Deadly Tower,1975
Cosmopolis,2012
House of the Rising Sun,2011
A Thousand Words,2012
Chimpanzee,2012
Love's Deadly Triangle: The Texas Cadet Murder,1997
Safety Not Guaranteed,2012
Madagascar 3: Europe's Most Wanted,2012
Bunnyman,2011
Athena,1954
The Lawless,1950
Eaux d'artifice,1953
Inauguration of the Pleasure Dome,1954
Blackthorn,2011
Your Sister's Sister,2011
The Needle,1988
The Beekeeper,1986
Dragon Ball: Curse of the Blood Rubies,1986
Dragon Ball: Sleeping Princess in Devil's Castle,1987
Superman/Batman: Public Enemies,2009
Dead Space: Aftermath,2010
Iria: Zeiram the Animation,1994
Kidnapped,2010
This Special Friendship,1964
Proteus,2003
Dragon Ball: Mystical Adventure,1988
Dragon Ball Z: The World's Strongest,1990
Brave,2012
Beauty and the Beast: The Enchanted Christmas,1997
Front of the Class,2008
Alcina,1999
The Pet,2006
Dragon Ball Z: The Tree of Might,1990
Pocahontas II: Journey to a New World,1998
Bel Ami,2012
What to Expect When You're Expecting,2012
To Rome with Love,2012
Don't Drink the Water,1969
Abraham Lincoln: Vampire Hunter,2012
Mad Dog Coll,1961
Winning,1969
First Position,2011
4.3.2.1,2010
Beauty #2,1965
Wings in the Dark,1935
Detention,2011
Nina Frisk,2007
Confession,1937
Kind Lady,1935
Planet B-Boy,2008
For Greater Glory - The True Story of Cristiada,2012
Woochi : The Demon Slayer,2009
Sorry if I Love You,2008
Torpedo Bombers,1983
Taxi Hunter,1993
Rock of Ages,2012
Seeking a Friend for the End of the World,2012
Presto,2008
Jack-Jack Attack,2004
Hollywood Man,1976
Jekyll & Hyde,1990
Boundin',2003
One Man Band,2005
A Map For Saturday,2007
The Silent Scream,1979
Ted,2012
The Giant Mechanical Man,2012
Tin Toy,1988
Magic Mike,2012
Revenge of the Electric Car,2011
Dragon Ball Z: Return of Cooler,1992
Dragon Ball Z: Cooler's Revenge,1991
Blood of the Vampire,1958
Disneyland Dream,1956
Disney Sing-Along-Songs: Under the Sea,1990
Pulgasari,1985
The Toughest Man in the World,1984
On the Road,2012
Norman,2010
Joffrey: Mavericks of American Dance,2012
Dragon Ball Z: Super Android 13,1992
Dragon Ball Z: Broly - The Legendary Super Saiyan,1993
Virtual JFK: Vietnam If Kennedy Had Lived,2008
Extraterrestrial,2011
Cleanskin,2012
The Amazing Spider-Man,2012
The Barchester Chronicles,1982
Dragon Ball Z: Bojack Unbound,1993
Reminiscences of a Journey to Lithuania,1972
Noroi: The Curse,2005
ID:A,2011
A Colt Is My Passport,1967
Coup de grâce,1976
Wrong Turn 3: Left for Dead,2009
Blacksmith Scene,1893
Ice Age: Continental Drift,2012
Beasts of the Southern Wild,2012
Dangerous Davies,1981
Dynamite,1929
The Day the Fish Came Out,1967
People Like Us,2012
Crazed Fruit,1956
Cruel Gun Story,1964
Flame and Women,1967
Euridice BA 2037,1975
La sociedad del semáforo,2010
The Flying Fleet,1929
Savages,2012
Balto II: Wolf Quest,2002
Rat King,2012
Bela Kiss: Prologue,2013
Oneway-Ticket to Korsør,2008
Candles on Bay Street,2006
Once Upon A Time in Phuket,2011
The War,2007
Thomas Jefferson,1997
Mooz-lum,2011
The Union,2012
The Miser,1980
Scorcher,2003
The Firm,2009
Red's Dream,1987
Spirit Camp,2009
The Perfect Roommate,2011
The Fatal Hour,1940
Geri's Game,1997
My Last Day Without You,2011
Red Rover,2006
Madea's Witness Protection,2012
The Black Windmill,1974
A Good Night to Die,2003
Some Guy Who Kills People,2011
Five Minarets in New York,2010
No Problem,2010
Prisoner 701: Sasori,2008
Treasure Island,2012
The Watch,2012
Vampires,2010
"Drive, He Said",1971
The Adventures of Mary-Kate & Ashley: The Case of the Christmas Caper,1995
The Adventures of Mary-Kate & Ashley: The Case of the United States Navy Adventure,1997
Someday This Pain Will Be Useful to You,2011
2 Days in New York,2012
Radio On,1979
2010: Moby Dick,2010
Physical Promise,1975
Terminal USA,1993
From Beginning to End,2009
The Cat in the Hat,1971
"UltraMarathon Man: 50 Marathons, 50 States, 50 Days",2008
Killer Joe,2011
Jew Süss,1934
The Gospel of Judas,2006
Dragon Ball Z: Broly - Second Coming,1994
King of Thorn,2009
Bob Funk,2009
Dragon Ball Z: Bio-Broly,1994
Dragon Ball Z: Fusion Reborn,1995
In the Grip of Passion,1947
"Lost, Lost, Lost",1976
Anaconda 3: Offspring,2008
Wild Bill,2011
Pete Smalls Is Dead,2010
Being Flynn,2012
The Drum,1938
Elephant Boy,1937
The Forger,2011
A Child's Christmas in Wales,1987
A Christmas Carol,1999
Goodbye Charlie,1964
Rage,2009
Knick Knack,1989
For the Birds,2000
Ruby Sparks,2012
Total Recall,2012
Le Donk & Scor-zay-zee,2009
388 Arletta Avenue,2011
The Craigslist Killer,2011
Babycall,2011
The Fantastic Four,1994
Bertie and Elizabeth,2002
Infection,2004
The Angels' Share,2012
Carbon Nation,2011
A Dangerous Man,2009
The Immature,2011
Morning of the Earth,1971
Dragon Ball Z: Wrath of the Dragon,1995
Dragon Ball Z: Bardock - The Father of Goku,1990
Marriage Retreat,2011
Vampire Journals,1997
Dikkenek,2006
La Classe Américaine,1993
A Necessary Death,2008
Oranges,2004
Icarus,2010
In the Name of the King 2: Two Worlds,2011
The Door,2009
Dragon Ball Z: The History of Trunks,1993
Dragon Ball GT: A Hero's Legacy,1997
The Kiss,1896
Sidewalls,2011
Dick Tracy vs. Cueball,1946
Stash House,2012
One in the Chamber,2012
Decoys 2: Alien Seduction,2007
Ax 'Em,1992
Hierro,2009
The Tortoise and the Hare,1935
Steak,2007
The Legend of Bigfoot,1976
Neil Young Journeys,2012
The Capture of Bigfoot,1979
Dragon Eyes,2012
"Love, Wedding, Marriage",2011
The Little Mermaid: Ariel's Beginning,2008
Bag It,2011
Skyfall,2012
The Thrushes Are Still Singing,1979
Hands Over the City,1963
The Householder,1963
Mais qui a tué Pamela Rose ?,2003
Louise-Michel,2008
Forest Warrior,1996
The Campaign,2012
Taistelu Näsilinnasta 1918,2012
Brake,2012
Hope Springs,2012
K-20: The Fiend with Twenty Faces,2008
Warning from Space,1956
Logan's War:  Bound by Honor,1998
The President's Man: A Line in the Sand,2002
The Queen of Versailles,2012
33 Postcards,2011
The Cutter,2005
Tender Comrade,1943
Amish Grace,2010
Female Agents,2008
"Captain Video, Master of the Stratosphere",1951
Run Sister Run!,2010
Secret Reunion,2010
War of the Dead,2011
The One Percent,2006
Primal,2010
Dreams That Money Can Buy,1947
Profound Desires of the Gods,1968
"See You in Hell, My Darling",1999
The Rickshaw Man,1958
Identification Marks: None,1965
I Am Waiting,1957
Chillerama,2011
The Cub Tiger from Kwang Tung,1973
Not Scared to Die,1973
Karate Girl,2011
I Am Bruce Lee,2012
On Top of the Whale,1982
Heroic Purgatory,1970
Beloved,2011
Wagner's Dream,2012
Little Birds,2011
I Hate But Love,1962
In Custody,1994
The Heroine,1973
ParaNorman,2012
Diary of a Wimpy Kid: Dog Days,2012
How Bruce Lee Changed the World,2009
The Rites of May,1977
The Great Sacrifice,1944
Immensee,1943
Bells of Innocence,2003
The PHD movie,2011
Operación Cannabis,2009
War of the Arrows,2011
Hara-Kiri: Death of a Samurai,2011
Goats,2012
Celeste & Jesse Forever,2012
Aliisa,1970
Our Children,2012
Hit & Run,2012
Garden Party,2008
Broken,2012
The Family Tree,2011
"Je, Tu, Il, Elle",1976
Cinderella II: Dreams Come True,2002
Dark Horse,2011
Black Roses,1988
6 Days to Air: The Making of South Park,2011
Funeral Parade of Roses,1969
Doomsday Book,2012
